Rk,Player,Tm,FantPos,Age,G,PassCmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecievingTD,FL,TotTD,FantPt,PPR
173,Braxton Berrios+,NYJ,WR,26,16,0,0,0,0,0,7,40,5.71,2,65,46,431,9.37,2,1,5,75,121.1
174,Bryan Edwards,LVR,WR,23,16,0,0,0,0,0,1,0,0,0,59,34,571,16.79,3,0,3,75,109.1
175,Kenyan Drake,LVR,RB,27,12,0,0,0,0,0,63,254,4.03,2,40,30,291,9.7,1,0,3,73,102.5
176,Nyheim Hines,IND,RB,25,17,0,0,0,0,0,56,276,4.93,2,57,40,310,7.75,1,2,3,73,112.6
177,Quez Watkins,PHI,WR,23,17,0,0,0,0,0,1,3,3,0,62,43,647,15.05,1,0,1,73,116
178,Jacoby Brissett,MIA,QB,29,11,141,225,1283,5,4,19,70,3.68,1,0,0,0,,0,3,1,72,72.3
179,David Njoku,CLE,TE,25,16,0,0,0,0,0,1,1,1,0,53,36,475,13.19,4,0,4,72,107.6
180,Corey Davis,NYJ,WR,26,9,0,0,0,0,0,0,0,,0,59,34,492,14.47,4,1,4,71,105.2
181,Gerald Everett,SEA,TE,27,15,0,0,0,0,0,3,20,6.67,0,63,48,478,9.96,4,2,4,70,117.8
182,Nick Westbrook-Ikhine,TEN,WR,24,16,0,0,0,0,0,0,0,,0,57,38,476,12.53,4,1,4,70,107.6
183,Ronald Jones II,TAM,RB,24,16,0,0,0,0,0,101,428,4.24,4,13,10,64,6.4,0,2,4,69,79.2
184,Nelson Agholor,NWE,WR,28,15,0,0,0,0,0,3,11,3.67,0,64,37,473,12.78,3,0,3,66,103.4
185,Randall Cobb,GNB,WR,31,12,0,0,0,0,0,1,1,1,0,39,28,375,13.39,5,1,5,66,93.6
186,Jalen Guyton,LAC,WR,24,16,0,0,0,0,0,7,34,4.86,0,48,31,448,14.45,3,0,3,66,97.2
187,Khalil Herbert,CHI,RB,23,17,0,0,0,0,0,103,433,4.2,2,16,14,96,6.86,0,0,2,65,78.9
188,Trey Lance,SFO,QB,21,6,41,71,603,5,2,38,168,4.42,1,0,0,0,,0,0,1,65,64.9
189,Justin Jackson,LAC,RB,25,14,0,0,0,0,0,68,364,5.35,2,25,22,178,8.09,0,1,2,64,86.2
190,DeVante Parker,MIA,WR,28,10,0,0,0,0,0,0,0,,0,73,40,515,12.88,2,0,2,64,103.5
191,Laviska Shenault Jr.,JAX,WR,23,16,0,0,0,0,0,11,41,3.73,0,100,63,619,9.83,0,1,0,64,127
192,DeAndre Carter,WAS,WR,28,17,0,0,0,0,0,10,89,8.9,0,44,24,296,12.33,3,0,4,63,86.5
193,Freddie Swain,SEA,WR,23,17,0,0,0,0,0,5,32,6.4,0,40,25,343,13.72,4,0,4,62,86.5
194,Jordan Howard,PHI,RB,27,7,0,0,0,0,0,86,406,4.72,3,5,2,19,9.5,0,0,3,61,62.5
195,Cole Kmet,CHI,TE,22,17,0,0,0,0,0,1,0,0,0,93,60,612,10.2,0,0,0,61,121.2
196,Henry Ruggs III,LVR,WR,22,7,0,0,0,0,0,3,16,5.33,0,36,24,469,19.54,2,0,2,61,84.5
197,Marquez Valdes-Scantling,GNB,WR,27,11,0,0,0,0,0,0,0,,0,55,26,430,16.54,3,0,3,61,87
198,Alex Collins,SEA,RB,27,11,0,0,0,0,0,108,411,3.81,2,10,9,87,9.67,0,1,2,60,68.8
199,Josh Palmer,LAC,WR,22,17,0,0,0,0,0,1,6,6,0,49,33,353,10.7,4,0,4,60,92.9
200,Jamison Crowder,NYJ,WR,28,12,0,0,0,0,0,0,0,,0,71,51,447,8.76,2,1,2,59,109.7
