Player,Rushing Yards,Receiving Yards,Passing Yards,Total TD,Fantasy Points,Games Played,Position,Yards_from_Scrimmage,Total_Yards,Avg_TD,Avg_Yards_from_Scrimmage,Avg_Passing_Yards,Avg_Total_Yards
Amari Cooper,20.0,4328,0.0,13.0,616,64,WR,4348.0,4348.0,0.203125,67.9375,0.0,67.9375
AmonRa St. Brown,61.0,2073,0.0,0.0,299,33,WR,2134.0,2134.0,0.0,64.66666666666667,0.0,64.66666666666667
Andy Dalton,263.0,-7,5041.0,4.0,597,46,QB,256.0,5297.0,0.08695652173913043,5.565217391304348,109.58695652173913,115.15217391304348
Anthony Miller,-1.0,656,0.0,2.0,76,16,WR,655.0,655.0,0.125,40.9375,0.0,40.9375
Antonio Brown,4.0,1028,0.0,4.0,151,15,WR,1032.0,1032.0,0.26666666666666666,68.8,0.0,68.8
Antonio Gibson,1832.0,894,0.0,11.0,473,45,RB,2726.0,2726.0,0.24444444444444444,60.577777777777776,0.0,60.577777777777776
Auden Tate,0.0,575,0.0,1.0,62,12,WR,575.0,575.0,0.08333333333333333,47.916666666666664,0.0,47.916666666666664
Austin Ekeler,1998.0,2765,0.0,14.0,868,59,RB,4763.0,4763.0,0.23728813559322035,80.72881355932203,0.0,80.72881355932203
Austin Hooper,0.0,1222,0.0,10.0,185,26,TE,1222.0,1222.0,0.38461538461538464,47.0,0.0,47.0
Baker Mayfield,440.0,17,5726.0,4.0,779,58,QB,457.0,6183.0,0.06896551724137931,7.879310344827586,98.72413793103448,106.60344827586206
Ben Roethlisberger,16.0,0,3803.0,0.0,485,31,QB,16.0,3819.0,0.0,0.5161290322580645,122.6774193548387,123.19354838709677
Benny Snell Jr.,368.0,61,0.0,4.0,65,16,RB,429.0,429.0,0.25,26.8125,0.0,26.8125
Boston Scott,992.0,499,0.0,7.0,230,43,RB,1491.0,1491.0,0.16279069767441862,34.674418604651166,0.0,34.674418604651166
Brandin Cooks,73.0,3469,0.0,8.0,458,58,WR,3542.0,3542.0,0.13793103448275862,61.06896551724138,0.0,61.06896551724138
Brandon Aiyuk,94.0,2589,0.0,7.0,389,46,WR,2683.0,2683.0,0.15217391304347827,58.32608695652174,0.0,58.32608695652174
Brandon Bolden,226.0,405,0.0,0.0,83,17,RB,631.0,631.0,0.0,37.11764705882353,0.0,37.11764705882353
Braxton Berrios,40.0,431,0.0,0.0,75,16,WR,471.0,471.0,0.0,29.4375,0.0,29.4375
Breece Hall,0.0,218,0.0,0.0,96,7,RB,218.0,218.0,0.0,31.142857142857142,0.0,31.142857142857142
Breshad Perriman,22.0,1150,0.0,9.0,171,26,WR,1172.0,1172.0,0.34615384615384615,45.07692307692308,0.0,45.07692307692308
Brian Hill,788.0,268,0.0,4.0,127,28,RB,1056.0,1056.0,0.14285714285714285,37.714285714285715,0.0,37.714285714285715
Brian Robinson Jr.,0.0,60,0.0,0.0,104,12,RB,60.0,60.0,0.0,5.0,0.0,5.0
Brock Purdy,0.0,0,1374.0,0.0,106,9,QB,0.0,1374.0,0.0,0.0,152.66666666666666,152.66666666666666
Bryan Edwards,0.0,571,0.0,0.0,75,16,WR,571.0,571.0,0.0,35.6875,0.0,35.6875
Byron Pringle,0.0,568,0.0,0.0,85,17,WR,568.0,568.0,0.0,33.411764705882355,0.0,33.411764705882355
C.J. Uzomah,0.0,493,0.0,0.0,79,16,TE,493.0,493.0,0.0,30.8125,0.0,30.8125
Calvin Ridley,35.0,2240,0.0,16.0,326,28,WR,2275.0,2275.0,0.5714285714285714,81.25,0.0,81.25
Cam Akers,625.0,240,0.0,3.0,219,28,RB,865.0,865.0,0.10714285714285714,30.892857142857142,0.0,30.892857142857142
